districtid,districtname,ilce,bolge_zoneid,status
365346,DENİZLİ MAHALLESİ,GEBZE,1,1
50268,ADEM YAVUZ MAHALLESİ,GEBZE,1,1
302000,AHATLI MAHALLESİ,GEBZE,1,1
50269,ARAPÇEŞME MAHALLESİ,GEBZE,1,1
863019,BALÇIK MAHALLESİ,GEBZE,1,1
50270,BARIŞ MAHALLESİ,GEBZE,1,1
140066,BARIŞ SB MAHALLESİ,GEBZE,1,1
50271,BEYLİKBAĞI MAHALLESİ,GEBZE,1,1
828525,CUMAKÖY MAHALLESİ,GEBZE,1,1
50272,CUMHURİYET MAHALLESİ,GEBZE,1,1
645945,DURAKLI MAHALLESİ,GEBZE,1,1
864405,ELBİZLİ MAHALLESİ,GEBZE,1,1
593764,ESKİHİSAR MAHALLESİ,GEBZE,1,1
50274,GAZİLER MAHALLESİ,GEBZE,1,1
200679,GEBZE DİLOVASI OSB MAHALLESİ,GEBZE,1,1
50295,GEBZE OSB MAHALLESİ,GEBZE,1,1
50275,GÜZELLER MAHALLESİ,GEBZE,1,1
50276,HACIHALİL MAHALLESİ,GEBZE,1,1
634386,HATİPLER MAHALLESİ,GEBZE,1,1
50277,HÜRRİYET MAHALLESİ,GEBZE,1,1
50293,İNÖNÜ MAH GEBZE PLASTİKÇİLER OSB MAHALLESİ,GEBZE,1,1
50294,İNÖNÜ MAH.GEBZE GÜZELLER OSB MAHALLESİ,GEBZE,1,1
50278,İNÖNÜ MAHALLESİ,GEBZE,1,1
50279,İSTASYON MAHALLESİ,GEBZE,1,1
809988,KADILLI MAHALLESİ,GEBZE,1,1
390021,KARGALI MAHALLESİ,GEBZE,1,1
50291,KİRAZPINAR MAHALLESİ,GEBZE,1,1
50280,KÖŞKLÜ ÇEŞME MAHALLESİ,GEBZE,1,1
50292,MEVLANA MAHALLESİ,GEBZE,1,1
50281,MİMAR SİNAN MAHALLESİ,GEBZE,1,1
153882,MOLLAFENARİ MAHALLESİ,GEBZE,1,1
958066,MUALLİMKÖY MAHALLESİ,GEBZE,1,1
163634,MUDARLI MAHALLESİ,GEBZE,1,1
50282,MUSTAFAPAŞA MAHALLESİ,GEBZE,1,1
50283,OSMAN YILMAZ MAHALLESİ,GEBZE,1,1
874503,OVACIK MAHALLESİ,GEBZE,1,1
576553,PELİTLİ MAHALLESİ,GEBZE,1,1
50285,SULTAN ORHAN MAHALLESİ,GEBZE,1,1
50286,TATLIKUYU MAHALLESİ,GEBZE,1,1
133876,TAVŞANLI MAHALLESİ,GEBZE,1,1
392423,TEPEMANAYIR MAHALLESİ,GEBZE,1,1
50287,ULUS MAHALLESİ,GEBZE,1,1
589937,YAĞCILAR MAHALLESİ,GEBZE,1,1
50288,YAVUZ SELİM MAHALLESİ,GEBZE,1,1
50289,YENİKENT MAHALLESİ,GEBZE,1,1
