sokakid,sokakkod,sokakname,district_id,durum
269368,,1001. (Sokak),50269,1
450734,,1001/1. (Sokak),50269,1
269369,,1001/2. (Sokak),50269,1
269370,,1002. (Sokak),50269,1
269371,,1003. (Sokak),50269,1
363382,,1004. (Sokak),50269,1
450735,,1005. (Sokak),50269,1
269372,,1006. (Sokak),50269,1
269373,,1007. (Sokak),50269,1
269374,,1008. (Sokak),50269,1
363383,,1009. (Sokak),50269,1
450736,,1010. (Sokak),50269,1
269375,,1011. (Sokak),50269,1
269376,,1012. (Sokak),50269,1
363384,,1012/1. (Sokak),50269,1
450737,,1012/2. (Sokak),50269,1
269377,,1012/3. (Sokak),50269,1
269378,,1013. (Sokak),50269,1
269379,,1013/1. (Sokak),50269,1
452015,,1013/2. (Sokak),50269,1
363385,,1013/3. (Sokak),50269,1
34616,,1013/4. (Sokak),50269,1
708175,,1013/5. (Sokak),50269,1
702224,,1013/6. (Sokak),50269,1
269380,,1014. (Sokak),50269,1
269381,,1014/1. (Sokak),50269,1
269382,,1014/10. (Sokak),50269,1
363386,,1014/2. (Sokak),50269,1
269383,,1014/4. (Sokak),50269,1
269384,,1014/5. (Sokak),50269,1
452016,,1014/6. (Sokak),50269,1
363387,,1014/7. (Sokak),50269,1
269386,,1014/9. (Sokak),50269,1
268970,,1015. (Sokak),50269,1
450711,,1015/1. (Sokak),50269,1
268971,,1016. (Sokak),50269,1
268972,,1016/1. (Sokak),50269,1
268973,,1016/2. (Sokak),50269,1
450712,,1016/3. (Sokak),50269,1
34613,,1016/4. (Sokak),50269,1
34609,,1016/5. (Sokak),50269,1
268974,,1017. (Sokak),50269,1
268975,,1018. (Sokak),50269,1
268976,,1018/1. (Sokak),50269,1
450713,,1019. (Sokak),50269,1
268978,,1019/2. (Sokak),50269,1
450714,,1019/3. (Sokak),50269,1
268979,,1019/4. (Sokak),50269,1
708171,,1019/5. (Sokak),50269,1
268980,,1020. (Sokak),50269,1
268981,,1020/1. (Sokak),50269,1
450715,,1020/2. (Sokak),50269,1
268982,,1021. (Sokak),50269,1
268983,,1021/1. (Sokak),50269,1
34608,,1021/2. (Sokak),50269,1
268984,,1022. (Sokak),50269,1
450716,,1022/1. (Sokak),50269,1
34605,,1022/2. (Sokak),50269,1
34585,,1022/3. (Sokak),50269,1
34583,,1022/4. (Sokak),50269,1
269322,,1023. (Sokak),50269,1
708164,,1023/1. (Sokak),50269,1
269323,,1024. (Sokak),50269,1
269324,,1025. (Sokak),50269,1
450717,,1025/1. (Sokak),50269,1
34581,,1025/2. (Sokak),50269,1
269325,,1026. (Sokak),50269,1
269326,,1027. (Sokak),50269,1
450718,,1028. (Sokak),50269,1
269327,,1029. (Sokak),50269,1
269328,,1030. (Sokak),50269,1
269329,,1031. (Sokak),50269,1
450719,,1032. (Sokak),50269,1
269330,,1033. (Sokak),50269,1
34580,,1033/1. (Sokak),50269,1
269331,,1034. (Sokak),50269,1
269332,,1035. (Sokak),50269,1
450720,,1036. (Sokak),50269,1
269333,,1037. (Sokak),50269,1
269334,,1038. (Sokak),50269,1
450721,,1038/1. (Sokak),50269,1
269335,,1038/2. (Sokak),50269,1
269336,,1039. (Sokak),50269,1
269337,,1040. (Sokak),50269,1
450722,,1041. (Sokak),50269,1
269338,,1042. (Sokak),50269,1
269339,,1042/1. (Sokak),50269,1
269340,,1042/2. (Sokak),50269,1
