petId,itraz_dilekce_ref_no,itraz_dilekce_konu,itraz_dilekce_sonuc,yonlendiren_birim,yonlendirme_tarihi,dilekce_referans_no,dilekce_konu,dilekce_sonuc,yonlendiren_birim_Dilekce,yonlendirme_tarihi_Dilekce
1,1,Face to face,Clearasil Daily Clear,Roombo,9/14/2022,7,"Fowl, helmeted guinea",Nunc nisl.,Curabitur in libero ut massa volutpat convallis.,3/16/2023
2,2,time-frame,Methocarbamol,Skidoo,2/5/2023,92,Red-cheeked cordon bleu,Etiam faucibus cursus urna.,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",1/17/2023
3,3,Proactive,ERYTHROMYCIN ETHYLSUCCINATE,Roomm,1/7/2023,53,Rhesus monkey,Integer tincidunt ante vel ipsum.,In hac habitasse platea dictumst.,9/24/2022
4,4,coherent,SKIN PROTECTANT,Yabox,12/24/2022,92,Tropical buckeye butterfly,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",Duis at velit eu est congue elementum.,2/24/2023
5,5,application,TremorSoothe,Vinte,2/28/2023,89,"Woodcock, american",In hac habitasse platea dictumst.,Nullam varius.,7/1/2023
6,6,portal,Excedrin,Topicstorm,8/31/2022,85,Boat-billed heron,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Sed accumsan felis.,12/24/2022
7,7,Business-focused,WART FREE,Twitterlist,7/21/2023,59,"Cardinal, red-capped",Pellentesque at nulla.,Nulla suscipit ligula in lacus.,9/18/2022
8,8,methodical,Tretinoin,Twimm,11/16/2022,88,"Parakeet, rose-ringed",Nulla facilisi.,Morbi non lectus.,9/29/2022
9,9,moratorium,OLANZAPINE,Wordify,12/7/2022,62,"Macaw, scarlet",Praesent id massa id nisl venenatis lacinia.,Sed ante.,3/7/2023
10,10,4th generation,Olanzapine,Mymm,5/23/2023,95,Gerbil (unidentified),Donec semper sapien a libero.,Integer non velit.,5/3/2023
11,11,3rd generation,INSTANT HAND SANITIZER,Youtags,1/12/2023,8,Monitor lizard (unidentified),"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Nunc rhoncus dui vel sem.,8/26/2023
12,12,Stand-alone,Acyclovir,Devbug,8/17/2023,30,"Jackrabbit, white-tailed","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Nullam varius.,2/23/2023
13,13,contextually-based,Temporary Fibromyalgia Pain and Discomfort Relief,Brainlounge,11/30/2022,96,"Bushbaby, large-eared","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Integer tincidunt ante vel ipsum.,8/14/2023
14,14,local area network,Travasol,Lajo,10/4/2022,100,"Vulture, turkey",Sed ante.,Duis mattis egestas metus.,11/5/2022
15,15,incremental,Topcare Sinus Relief,Topiclounge,6/3/2023,55,"Pelican, eastern white","Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Morbi vel lectus in quam fringilla rhoncus.,4/13/2023
16,16,projection,Synovium,Yabox,5/31/2023,71,"Sandgrouse, yellow-throated",Etiam faucibus cursus urna.,Integer tincidunt ante vel ipsum.,8/31/2022
17,17,solution,Cough DM,Skimia,3/17/2023,34,Tsessebe,Nullam varius.,Phasellus in felis.,10/6/2022
18,18,executive,Clonidine Hydrochloride,Aibox,6/15/2023,1,"Crocodile, nile",Vivamus tortor.,Vivamus vestibulum sagittis sapien.,6/2/2023
19,19,knowledge user,TRIESENCE,Roomm,11/17/2022,51,Ground monitor (unidentified),Nullam varius.,Cras non velit nec nisi vulputate nonummy.,12/25/2022
20,20,website,Pravastatin Sodium,Gigabox,9/14/2022,22,"Macaw, red and blue",Aenean lectus.,Nam tristique tortor eu pede.,5/8/2023
21,21,impactful,SHISEIDO SUN PROTECTION COMPACT FOUNDATION (REFILL),Shuffledrive,9/24/2022,85,"Swan, trumpeter",Duis aliquam convallis nunc.,Nullam porttitor lacus at turpis.,2/12/2023
22,22,access,Niravam,Zoonoodle,8/7/2023,24,Bat-eared fox,Suspendisse potenti.,In congue.,2/21/2023
23,23,next generation,Metoclopramide,Plajo,8/25/2023,34,"Crane, stanley",Aenean auctor gravida sem.,Etiam vel augue.,12/26/2022
24,24,context-sensitive,Tramadol Hydrochloride and Acetaminophen,Jatri,12/14/2022,72,Argalis,Mauris lacinia sapien quis libero.,Maecenas tincidunt lacus at velit.,7/1/2023
25,25,methodical,ELESTAT,Fanoodle,1/3/2023,22,Rufous tree pie,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Curabitur gravida nisi at nibh.,11/28/2022
26,26,web-enabled,Medroxyprogesterone Acetate,Zoomcast,9/14/2022,9,"Lion, steller sea",Maecenas pulvinar lobortis est.,Aenean lectus.,8/3/2023
