appId,arsiv_dosya_no,muracaat_tarihi,muracaat_tipi,region,description,status
1,93081,28/8/2021,,2,Vivamus in felis eu sapien cursus vestibulum.,1
2,18383,30/11/2021,,1,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",0
3,28038,1/9/2010,,2,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1
4,11102,27/7/2019,,1,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue.",0
5,28780,29/5/2020,,2,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1
6,78364,3/5/2013,,2,Pellentesque viverra pede ac diam.,0
7,32976,16/12/2011,,3,Proin at turpis a pede posuere nonummy.,1
8,49855,14/5/2017,,3,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,1
9,56442,25/1/2020,,3,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0
10,7352,12/6/2013,,3,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,1
11,63511,23/12/2012,,3,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0
12,79459,30/5/2018,,3,Nam dui.,0
13,107266,27/5/2016,,2,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1
14,55587,13/12/2013,,2,Ut tellus.,1
15,79252,7/6/2017,,3,Donec semper sapien a libero.,0
16,3389,16/11/2012,,2,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,1
17,11205,27/10/2021,,2,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",0
18,41713,30/10/2017,,2,Morbi non lectus.,0
19,34202,18/1/2021,,1,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae.",0
20,87811,8/3/2012,,3,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1
21,123241,1/11/2015,,2,Nulla nisl.,0
22,57822,10/5/2012,,3,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,0
23,6623,17/12/2010,,2,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1
24,48071,2/5/2023,,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",0
25,61533,23/5/2023,,3,Nulla nisl. Nunc nisl.,1
26,121375,4/4/2018,,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,1
27,58844,31/3/2018,,1,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,1
28,9162,26/7/2012,,3,In hac habitasse platea dictumst.,1
29,61027,2/5/2015,,1,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,0
30,116979,18/4/2021,,2,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0
31,78844,15/4/2023,,1,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,1
32,1069,12/8/2018,,3,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1
33,7599,13/11/2010,,2,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,0
34,105302,6/3/2021,,3,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,1
